SuR,Supported,Noted,Total
Afghanistan,1.0,0.0,1.0
Barbados,0.0,1.0,1.0
Burundi,0.0,3.0,3.0
Cote d'Ivoire,1.0,1.0,2.0
Germany,0.0,1.0,1.0
Monaco,1.0,0.0,1.0
Norway,1.0,0.0,1.0
Republic of Korea,1.0,0.0,1.0
Viet Nam,0.0,1.0,1.0
Yemen,1.0,0.0,1.0
Kuwait,0.0,1.0,1.0
Namibia,0.0,1.0,1.0
Sweden,2.0,2.0,4.0
United States,8.0,9.0,17.0
Algeria,0.0,1.0,1.0
Brazil,1.0,0.0,1.0
Japan,1.0,0.0,1.0
Netherlands,1.0,0.0,1.0
United Kingdom,1.0,0.0,1.0
Zimbabwe,0.0,7.0,7.0
Cameroon,0.0,1.0,1.0
New Zealand,1.0,0.0,1.0
Serbia,1.0,0.0,1.0
Iran,0.0,1.0,1.0
Kenya,1.0,0.0,1.0
Turkey,0.0,1.0,1.0
Australia,2.0,0.0,2.0
Austria,1.0,0.0,1.0
Belgium,2.0,0.0,2.0
Estonia,0.0,1.0,1.0
Latvia,2.0,0.0,2.0
Mongolia,1.0,0.0,1.0
Oman,0.0,1.0,1.0
Paraguay,2.0,0.0,2.0
Moldova,1.0,0.0,1.0
Venezuela,1.0,1.0,2.0
